name,data_type,ordered,value_labels,n_missing,complete_rate,n_unique,empty,top_counts,min,median,max,mean,sd,whitespace,hist,label
part_id,numeric,,,0,1,,,,1,174,304,164.7002584,84.41401082,,▅▅▆▇▆,
cont_id,numeric,,,0,1,,,,1,774,1548,774.5,447.0134226,,▇▇▇▇▇,
diaryday,character,,,0,1,2,0,,9,,10,,,0,,
contact_age,factor,FALSE,"1. 0-9,2. 10-19,3. 20-29,4. 30-39,5. 40-59,6. 60+",0,1,6,,"40-: 444, 20-: 379, 30-: 302, 60+: 154",,,,,,,,
contact_gender,character,,,0,1,3,0,,4,,12,,,0,,
cont_attr,character,,,0,1,3,0,,9,,9,,,0,,
totaltime,character,,,1,0.999354005,5,0,,17,,28,,,0,,
cont_home,character,,,0,1,2,0,,1,,1,,,0,,
street,character,,,0,1,2,0,,1,,1,,,0,,
store,character,,,0,1,2,0,,1,,1,,,0,,
cont_otherhome,character,,,0,1,2,0,,1,,1,,,0,,
work,character,,,0,1,2,0,,1,,1,,,0,,
school,character,,,0,1,2,0,,1,,1,,,0,,
worship,character,,,0,1,1,0,,1,,1,,,0,,
leisure,character,,,0,1,2,0,,1,,1,,,0,,
transport,character,,,0,1,2,0,,1,,1,,,0,,
healthcare,character,,,0,1,2,0,,1,,1,,,0,,
gym,character,,,0,1,1,0,,1,,1,,,0,,
playground,character,,,0,1,2,0,,1,,1,,,0,,
loc_other,character,,,0,1,2,0,,1,,1,,,0,,
contact_fromdayone,character,,,817,0.472222222,3,0,,2,,14,,,0,,
